cities	lat	lng
almaty	43.222	76.8512
Athens	37.9838	23.7275
Bilbao	43.263	-2.935
Bologna	44.4949	11.3426
Bonn	50.7374	7.0982
Braga	41.55032	-8.42005
Bristol	51.4545	-2.5879
Buenos Aires	-34.6037	-58.3816
Copenhagen	55.6761	12.5683
Dallas	32.7767	-96.797
Denver	39.7392	-104.9903
Dundee	56.4620	-2.9707
Düsseldorf	51.2277	6.7735
Freetown	8.4657	-13.2317
Fukuoka City	33.5902	130.4017
Geneva	46.2044	6.1432
Glasgow	55.8642	-4.2518
Hamburg	53.5511	9.9937
Highland	57.4596	-4.2264
King County Executive	47.5480	-121.9836
Leipzig	51.3397	12.3731
Lisbon	38.7223	-9.1393
Liverpool (Greater)	53.4084	-2.9916
Ljubljana	46.0569	14.5058
Los Angeles	34.0522	-118.2437
Madrid	40.4168	-3.7038
Manchester (Greater)	53.4808	-2.2426
Mannheim	49.4875	8.466
Medellín	6.2442	-75.5812
Milan	45.4642	9.19
Montreal	45.5017	-73.5673
New York	40.7128	-74.006
Oakland	37.8044	-122.2711
Otsu	35.0178	135.8552
Paris	48.8566	2.3522
Perth and Kinross	56.3954	-3.4284
Philadelphia	39.9526	-75.1652
Porto	41.1579	-8.6291
Quillota	-32.8803	-71.2497
Reykjavik	64.1466	-21.9426
Rio de Janeiro	-22.9068	-43.1729
Rotterdam	51.9244	4.4777
Saltillo	25.4383	-100.9737
San Jose	37.3382	-121.8863
Santa Monica	34.0195	-118.4912
Seoul	37.5665	126.978
Seville	37.3891	-5.9845
Sintra	38.8029	-9.3817
Stirling	56.1165	-3.9369
Stockholm	59.3293	18.0686
Stockton	37.9577	-121.2908
Suwon	37.2636	127.0286
Tbilisi	41.7151	44.8271
Tel Aviv-Yafo	32.0853	34.7818
Tokyo	35.6762	139.6503
Toyama	36.6958	137.2137
Utrecht	52.0907	5.1214
Viana do Castelo	41.6918	-8.8344
Wellington	-41.2865	174.7762
Yokohama	35.4437	139.638
